ISBN,Sales,Stores,Title,Authors,Publisher,Categories,Description,Binding,Subjects
9780897334556,6,3,The Afrofuturist Evolution: Creative Paths to Self-Discovery,Ytasha L. Womack,Lawrence Hill Books,Non-Fiction,Unknown,Paperback,"Politics & Social Sciences, Social Sciences, Communication & Media Studies, Popular Culture, Ethnic Studies"
9780063342262,18,2,"Hello There, Sunshine",Tabitha Brown,HarperCollins,Children's,"From America’s Mom—actress, New York Times bestselling author, NAACP Award–winning personality, and Emmy-winning host Tabitha Brown—comes an upbeat, inspiring story about finding your own light.<br/>""Hello there, sunshine!""<br/>Every morning, young Tabitha wakes up and greets the sun. She loves how it brings everyone JOY. But one day she wakes up and the sun is missing! So Tab hops on her strawberry shortcake bike with her puppy in tow and makes it her business to find the sun.<br/>Can she do it? Or will Tabitha find out that sometimes the shine we're looking for is inside of us?<br/>A perfect pick for fans of What Do You Do with an Idea?, You Matter, and Just Because, Brown’s children's debut is a marvelous read-aloud and a great gift that will remind the youngest reader to always stay positive.",Hardcover,"Children's Books, Growing Up & Facts of Life, Friendship, Social Skills & School Life, Literature & Fiction, Poetry, Geography & Cultures, Multicultural Stories"
9780593817100,8,5,The Love Lyric (The Greene Sisters),Kristina Forest,Berkley,Fiction,"An R&B singer and a corporate executive find love that hits the right notes in this romance by Kristina Forest, USA Today bestselling author of The Partner Plot.<br/><br/>Iris Greene used to be a woman with a plan. But all of that changed after she met the love of her life at twenty-five, got pregnant and married…and then became a widow and a single mother all in alittle over two years. Now, after years of hustling, Iris is the director of partnerships at a beauty company and raising sweet six-year-old Calla by herself. Despite her busy life, she still can’t help but feel lonely. She just needs to catch her breath—and one night, at her sister’s wedding, when she steps outside to do just that, she sees a certain singer who takes her breath away. . . .<br/><br/>By all accounts, pop R&B singer Angel Hughes has it made. He’s a successful musician and has just scored a brand ambassador deal with an emerging beauty company. But he’s still not fulfilled; he’s not producing songs he’s passionate about, and there’s a gaping hole in his love life. When he visits the Save Face Beauty office to kickstart his campaign, he’s delighted to see Iris, his stylist’s sister—the beautiful woman he’s secretly had a crush on for years.<br/><br/>Despite their obvious attraction to each other, they must stay professional throughout the campaign tour—a goal that doesn’t quite pan out. But when it becomes clear their lives aren’t in sync, can they fall back in step to the same rhythm and beat?",Paperback,"Literature & Fiction, Dramas & Plays, Comedy, Genre Fiction, Feel-Good, United States, Black & African American, Romance, Contemporary, Romantic Comedy"
9780345350688,22,3,The Autobiography Of Malcolm X,Malcolm X,"Ballantine, 1990",Non-Fiction,"ONE OF TIME’S TEN MOST IMPORTANT NONFICTION BOOKS OF THE TWENTIETH CENTURY<br/><br/>In the searing pages of this classic autobiography, originally published in 1964, Malcolm X, the Muslim leader, firebrand, and anti-integrationist, tells the extraordinary story of his life and the growth of the Black Muslim movement. His fascinating perspective on the lies and limitations of the American Dream, and the inherent racism in a society that denies its nonwhite citizens the opportunity to dream, gives extraordinary insight into the most urgent issues of our own time. The Autobiography of Malcolm X stands as the definitive statement of a movement and a man whose work was never completed but whose message is timeless. It is essential reading for anyone who wants to understand America.<br/><br/>Praise for The Autobiography of Malcolm X<br/><br/>“Extraordinary . . . a brilliant, painful, important book.”—The New York Times<br/><br/>“This book will have a permanent place in the literature of the Afro-American struggle.”—I. F. Stone",Paperback,"Black studies, Biography & Autobiography, Biography / Autobiography, Biography/Autobiography, USA, Cultural Heritage, People of Color, Political, Political Freedom & Security - Civil Rights, Biography & Autobiography / People of Color, Ethnic Studies - African American Studies - General, Islam - General, Afro-Americans, Biography, Black Muslims"
9780593711484,11,2,Easter Fun: A Brown Baby Parade Book,Nikki Shannon Smith,Crown Books for Young Readers,Children's,"It’s time for some Easter fun! Read along as a young girl spends Easter Sunday with her family in this next installment of the Brown Baby Parade board book series that's perfect for ages 0-3.<br/><br/>I quickly spy a pink egg.<br/>But guess what? There are more!<br/>We have to keep on hunting,<br/>much harder than before.<br/><br/>A little girl and her family celebrate Easter by visiting loved ones, eating a special meal, and going on an Easter egg hunt.<br/><br/>Nikki Shannon Smith's bouncy, rhythmic text and Ashley Evans's vivid, welcoming illustrations pair beautifully to create heartwarming scenes of everyday life. The joyful depiction of a Black family celebrating Easter traditions together will allow children to relate no matter how they celebrate!",Board book,"Children's Books, Growing Up & Facts of Life, Friendship, Social Skills & School Life, Literature & Fiction, Poetry, Early Learning"
9781368055055,3,3,"Rick Riordan Presents: Tristan Strong Keeps Punching-A Tristan Strong Novel, Book 3",Kwame Mbalia,Rick Riordan Presents,Children's,"Best-selling author Rick Riordan presents the finale of Kwame Mbalia's trilogy, in which Tristan Strong faces off with his archenemy, King Cotton, once and for all, now in paperback.<br/><br/>""Imagine if you combined Anansi the Spider, John Henry, and Marvel into, like, one book.""--New York Times best-selling author and Newbery Medalist Kwame Alexander<br/><br/>After reuniting with Ayanna, who is now in his world, Tristan travels up the Mississippi in pursuit of his archenemy, King Cotton. Along the way they encounter new haints who are dead set on preventing their progress north to Tristan's hometown of Chicago. It's going to take many Alkean friends, including the gods themselves, the black flames of the afokena gloves, and all of Tristan's inner strength to deliver justice once and for all.<br/><br/>Shocking twists, glorious triumphs, and a cast of unforgettable characters make this series conclusion as satisfying as it is entertaining.<br/><br/>Endorsed by Rick Riordan, author of Percy Jackson and the Olympians, soon to be a series on Disney+.<br/><br/>Complete your middle grade fantasy collection with these best-selling fan favorites: Rick Riordan Presents: Race to the Sun by Rebecca Roanhorse Rick Riordan Presents: City of the Plague God by Sarwat Chadda Rick Riordan Presents: Dragon Pearl by Yoon Ha Lee Rick Riordan Presents: Sal and Gabi Break the Universe by Carlos Hernandez The Percy Jackson and the Olympians series by Rick Riordan",Paperback,"Children's Books, Action & Adventure, Fairy Tales, Folk Tales & Myths, African, Science Fiction & Fantasy, Fantasy & Magic, Geography & Cultures, Multicultural Stories"
9781538706824,14,6,This Could Be Us,Kennedy Ryan,Forever,Non-Fiction,"“Heart-searing, sensual, and life affirming.” ―EMILY HENRY, #1 New York Times bestselling author<br/>An instant New York Times and USA Today bestseller, featured on The Today Show and CBS Mornings.<br/>Glamour: Best Books for Book Clubs<br/><br/>Soledad Barnes has her life all planned out. Because, of course, she does. She plans everything. She designs everything. She fixes everything. She’s a domestic goddess who's never met a party she couldn't host or a charge she couldn't lead. The one with all the answers and the perfect vinaigrette for that summer salad. But none of her varied talents can save her when catastrophe strikes, and the life she built with the man who was supposed to be her forever, goes poof in a cloud of betrayal and disillusion.<br/><br/>But there is no time to pout or sulk, or even grieve the life she lost. She's too busy keeping a roof over her daughters' heads and food on the table. And in the process of saving them all, Soledad rediscovers herself. From the ashes of a life burned to the ground, something bold and new can rise.<br/><br/>But then an unlikely man enters the picture—the forbidden one, the one she shouldn't want but can't seem to resist. She's lost it all before and refuses to repeat her mistakes. Can she trust him? Can she trust herself?<br/><br/>After all she's lost . . .and found . . .can she be brave enough to make room for what could be?<br/><br/>For fans of Tia Williams and Colleen Hoover comes a deeply moving and personal novel about sacrifice, self-reliance, and finding true happiness from “one of the finest romance writers of our age.” ―Entertainment Weekly<br/><br/>""A gorgeously grown-up romance and a story about self-love and reinvention...a great novel for readers who appreciate multilayered romantic fiction with elements of domestic drama, scandal, and inspiration."" ―NPR",Paperback,American literature
9781982197377,7,2,The House of Eve,Sadeqa Johnson,Simon & Schuster,Non-Fiction,"“Amazing…I was completely surprised by the ending of this beautifully told and written book.” —Reese Witherspoon<br/><br/>“A triumph of historical fiction” (The Washington Post), an instant New York Times bestseller, and a Reese’s Book Club pick, set in 1950s Philadelphia and Washington, DC, that explores what it means to be a woman and a mother, and how much one is willing to sacrifice to achieve her greatest goal.<br/><br/>1950s Philadelphia: fifteen-year-old Ruby Pearsall is on track to becoming the first in her family to attend college. But a taboo love affair threatens to pull her back down into the poverty and desperation that has been passed on to her like a birthright.<br/><br/>Eleanor Quarles arrives in Washington, DC, with ambition and secrets. When she meets the handsome William Pride at Howard University, they fall madly in love. But William hails from one of DC’s elite wealthy Black families, and his parents don’t let just anyone into their fold. Eleanor hopes that a baby will make her finally feel at home in William’s family and grant her the life she’s been searching for. But having a baby—and fitting in—is easier said than done.<br/><br/>With their stories colliding in the most unexpected of ways, Ruby and Eleanor will both make decisions that shape the trajectory of their lives.",Paperback,"Fiction, african american & black, historical, Fiction, african american & black, women"
9781507220191,28,3,"Affirmations for Black Women: A Journal: 100+ Positive Messages and Prompts to Affirm Your Self-Worth, Empower Your Spirit, & Attract Success",Oludara Adeeyo,Adams Media,Non-Fiction,"“If you’re a Black woman who wants to tap into affirmations, Oludara Adeeyo’s prompt-filled journal is the one for you.” —Wondermind<br/><br/>Black women are powerful, brilliant, and brave, and it’s time to affirm these truths with more than 100 affirmations and journal prompts Black women can use to empower themselves.<br/><br/>In a world that perpetuates negative stereotypes about Black women, it’s more important than ever to affirm Black women for their power, brilliance, and bravery. With Affirmations for Black Women: A Journal, Black women will find more than 100 affirmations from their emotional, mental, and physical wellbeing, to the practical, professional, and social aspects of their lives. You’ll also learn specifically why affirmations are essential for Black women in order to heal from the effects of misogynoir, to build up your confidence, to build a self-care practice, and much more. You’ll discover how to apply affirmations to your daily life and use them in order to manifest what you desire and deserve.<br/><br/>Best of all, you’ll find short prompts after each affirmation to reflect on the affirmation and to take them one step further. Prompts will help you cement the affirmation into your mind, and into your reality as you incorporate them fully into your life. With Affirmations for Black Women: A Journal, you’ll celebrate being a Black woman, affirm your talent and worth, and bring your dreams to fruition.",Hardcover,"Self-Help, Happiness, Journal Writing, Success, Politics & Social Sciences, Social Sciences, Ethnic Studies"
9780593853696,8,3,Fearless and Free: A Memoir,Josephine Baker,Tiny Reparations Books,Non-Fiction,"Published in the US for the first time, Fearless and Free is the memoir of the fabulous, rule-breaking, one-of-a-kind Josephine Baker, the iconic dancer, singer, spy, and Civil Rights activist.<br/><br/>After stealing the spotlight as a teenaged Broadway performer during the height of the Harlem Renaissance, Josephine then took Paris by storm, dazzling audiences across the Roaring Twenties. In her famous banana skirt, she enraptured royalty and countless fans—Ernest Hemingway and Pablo Picasso among them. She strolled the streets of Paris with her pet cheetah wearing a diamond collar. With her signature flapper bob and enthralling dance moves, she was one of the most recognizable women in the world.<br/><br/>When World War II broke out, Josephine became a decorated spy for the French Résistance. Her celebrity worked as her cover, as she hid spies in her entourage and secret messages in her costumes as she traveled. She later joined the Civil Rights movement in the US, boycotting segregated concert venues, and speaking at the March on Washington alongside Martin Luther King Jr.<br/><br/>First published in France in 1949, her memoir will now finally be published in English. At last we can hear Josephine in her own voice: charming, passionate, and brave. Her words are thrilling and intimate, like she’s talking with her friends over after-show drinks in her dressing room. Through her own telling, we come to know a woman who danced to the top of the world and left her unforgettable mark on it.",Hardcover,"Biographies & Memoirs, Arts & Literature, Actors & Entertainers, Community & Culture, Black & African American, Leaders & Notable People, Social Activists, Memoirs, Humor & Entertainment"
9780593804148,4,3,"One Day, Everyone Will Have Always Been Against This",Omar El Akkad,Knopf,Non-Fiction,"From award-winning novelist and journalist Omar El Akkad comes a powerful reckoning with what it means to live in the heart of an empire that doesn’t consider you fully human.<br/><br/>On October 25th, 2023, after just three weeks of the bombardment of Gaza, Omar El Akkad put out a tweet: “One day, when it's safe, when there's no personal downside to calling a thing what it is, when it's too late to hold anyone accountable, everyone will have always been against this.” This tweet was viewed more than ten million times.<br/><br/>One Day Everyone Will Have Always Been Against This chronicles the deep fracture that has occurred for Black, brown, Indigenous Americans, as well as the upcoming generation, many of whom had clung to a thread of faith in Western ideals, in the idea that their countries, or the countries of their adoption, actually attempted to live up to the values they espouse.<br/>This book is a reckoning with what it means to live in the West, and what it means to live in a world run by a small group of countries—America, the UK, France, and Germany.  It will be The Fire Next Time for a generation that understands we're undergoing a shift in the so-called “rules-based order,” a generation that understands the West can no longer be trusted to police and guide the world, or its own cities and campuses. It draws on intimate details of Omar's own story as an emigrant who grew up believing in the Western project, who was catapulted into journalism by the rupture of 9/11.<br/>This book is El Akkad's heartsick breakup letter with the West. It is a breakup we are watching all over the United States, on college campuses, on city streets, and the consequences of this rupture will be felt by all of us. His book is for all the people who want something better than what the West has served up. This is the book for our time.",Hardcover,"Biographies & Memoirs, Memoirs, Politics & Social Sciences, Politics & Government, Ideologies & Doctrines, International & World Politics"
9781668036587,6,2,The Lion Women of Tehran,Marjan Kamali,Gallery Books,Fiction,"From the nationally bestselling author of the “powerful, heartbreaking” (Shelf Awareness) The Stationery Shop, a heartfelt, epic new novel of friendship, betrayal, and redemption set against three transformative decades in Tehran, Iran.<br/><br/>In 1950s Tehran, seven-year-old Ellie lives in grand comfort until the untimely death of her father, forcing Ellie and her mother to move to a tiny home downtown. Lonely and bearing the brunt of her mother’s endless grievances, Ellie dreams of a friend to alleviate her isolation.<br/><br/>Luckily, on the first day of school, she meets Homa, a kind, passionate girl with a brave and irrepressible spirit. Together, the two girls play games, learn to cook in the stone kitchen of Homa’s warm home, wander through the colorful stalls of the Grand Bazaar, and share their ambitions for becoming “lion women.”<br/><br/>But their happiness is disrupted when Ellie and her mother are afforded the opportunity to return to their previous bourgeois life. Now a popular student at the best girls’ high school in Iran, Ellie’s memories of Homa begin to fade. Years later, however, her sudden reappearance in Ellie’s privileged world alters the course of both of their lives.<br/><br/>Together, the two young women come of age and pursue their own goals for meaningful futures. But as the political turmoil in Iran builds to a breaking point, one earth-shattering betrayal will have enormous consequences.<br/><br/>Written with Marjan Kamali’s signature “evocative, devastating, and hauntingly beautiful” (Whitney Scharer, author of The Age of Light) prose, The Lion Women of Tehran is a sweeping exploration of how profoundly we are shaped by those we meet when we are young, and the way love and courage transforms our lives.",Hardcover,"Literature & Fiction, Genre Fiction, Historical, Friendship, United States"
9780063137905,6,4,"Black Girls Must Die Exhausted: A Novel (Black Girls Must Die Exhausted, 1)",Jayne Allen,Harper Perennial,Fiction,"“It’s a good thing that this is only the first book of a trilogy, because after getting to know Tabitha, you won’t want to leave her at the end. . . . Written intimately as if you’re peering into the mind of a close friend, this book is a true testament to the stresses on women today and how great girlfriends (and grandmothers) are often the key to our sanity.” — Good Morning America<br/>The first novel in a captivating three-book series about modern womanhood, in which a young Black woman must rely on courage, laughter, and love—and the support of her two longtime friends—to overcome an unexpected setback that threatens the most precious thing she’s ever wanted.<br/>Tabitha Walker is a black woman with a plan to “have it all.” At 33 years old, the checklist for the life of her dreams is well underway. Education? Check. Good job? Check. Down payment for a nice house? Check. Dating marriage material? Check, check, and check. With a coveted position as a local news reporter, a ""paper-perfect"" boyfriend, and even a standing Saturday morning appointment with a reliable hairstylist, everything seems to be falling into place.<br/>Then Tabby receives an unexpected diagnosis that brings her picture-perfect life crashing down, jeopardizing the keystone she took for granted: having children. With her dreams at risk of falling through the cracks of her checklist, suddenly she is faced with an impossible choice between her career, her dream home, and a family of her own.<br/>With the help of her best friends, the irreverent and headstrong Laila and Alexis, the mom jeans-wearing former ""Sexy Lexi,"" and the generational wisdom of her grandmother and the nonagenarian firebrand Ms. Gretchen, Tabby explores the reaches of modern medicine and tests the limits of her relationships, hoping to salvage the future she always dreamed of. But the fight is all consuming, demanding a steep price that forces an honest reckoning for nearly everyone in her life. As Tabby soon learns, her grandmother's age-old adage just might still be true: Black girls must die exhausted.",Paperback,"Literature & Fiction, Genre Fiction, Historical, Family Life, Friendship, Women's Fiction, Domestic Life, United States, Black & African American"
9780778333524,4,3,Zora Books Her Happy Ever After: A Rom-Com Novel,Taj McCoy,MIRA,Non-Fiction,"Named a Most Anticipated Book of 2023 by Entertainment Weekly · EBONY magazine · PopSugar · Paste Magazine · BuzzFeed · BiblioLifestyle · Culturess<br/><br/>“Taj McCoy offers readers a yummy love triangle with her latest . . . A romp offering readers a heroine who knows what she deserves and two men competing to measure up.” —Entertainment Weekly<br/><br/>“Zora find herself in a love triangle with [a] writer and his seemingly grumpy best friend in this flirty rom-com read.” —EBONY<br/><br/>“McCoy Doesn’t miss a romantic beat.” —Publishers Weekly, Starred Review<br/><br/>A heart-pounding, curvy romance about an indie bookstore owner who finds herself in a love triangle when she meets the author she's had a crush on for years...and his best friend.<br/><br/>Zora has committed every inch of her life to establishing her thriving DC bookstore, making it into a pillar of the community, and she just hasn’t had time for romance. But when a mystery author she’s been crushing on for years agrees to have an event at her store, she starts to rethink her priorities. Lawrence is every bit as charming as she imagined, even if his understanding of his own books seems just a bit shallow. When he asks her out after his reading, she’s almost elated enough to forget about the grumpy guy who sat next to her making snide comments all evening. Apparently the grouch is Lawrence’s best friend, Reid, but she can’t imagine what kind of friendship that must be. They couldn’t be more different.<br/><br/>But as she starts seeing Lawrence, and spending more and more time with Reid, Zora finds first impressions can be deceiving. Reid is smart and thoughtful—he’s also interested. After years of avoiding dating, she suddenly has two handsome men competing for her affection. But even as she struggles to choose between them, she can’t shake the feeling that they’re both hiding something—a mystery she’s determined to solve before she can find her HEA.",Paperback,"Humor & Entertainment, Literature & Fiction, Women's Fiction, Domestic Life, Contemporary, United States, Black & African American, Asian American, Romance, Romantic Comedy"
9780063315891,23,2,No One Is Self-Made: Build Your Village to Flourish in Business and Life,Lakeysha Hallmon,Dey Street Books,Non-Fiction,"This book isn’t just for one kind of entrepreneur—it’s for every kind. Whether you're thriving with purpose or struggling to grow your business and battle self-doubt, No One is Self-Made offers solutions and encouragement you need to push forward with the right community. From the visionary behind the groundbreaking Village Market, a direct pipeline connecting Black businesses to engaged consumers, this inspirational guide dares to dismantle the myth of individualism and reveals how collective support can shatter systemic barriers to success. It’s a bold roadmap for entrepreneurs and leaders determined to rewrite the rules of business.<br/><br/>Support is a verb.<br/>Dr. Lakeysha Hallmon keeps this mantra pinned to her wall as a reminder of the undeniable impact of community. When she was pursuing her entrepreneurial dreams, she quickly saw the racial disparities and systemic issues affecting Black small businesses. She began meeting many brilliant entrepreneurs and small business owners, recognizing their potential to soar if backed by invested supporters.<br/>In response, Dr. Hallmon founded the Village Market and challenged people to put the “Support is a Verb” mantra to action by rallying around businesses within their own communities. As a result, The Village Market funneled millions of dollars into local businesses, attacking the wealth gap and spiriting economic prosperity. This replicable model has inspired others nationwide to adopt a similar approach and economic strategy. She found that her beliefs were true: that by rooting our lives, businesses, and work in community–we find resources to create and support economic mobility from within.<br/>No One Is Self-Made is an inspirational narrative weaving together themes of community, purposeful businesses, and collective economics. This book debunks the myth of being self-made and empowers readers to abandon the notion and lean into community on their pathway to success. Entrepreneurs at any stage of growth will appreciate Dr. Hallmon’s story—with all the ups and downs of founding the Village Market—and the road-tested advice she dispenses for those trying to find success in business, career, and life. She explains economic and social factors, missteps that can derail goals, and the tools necessary to create their own thriving village. Along the way, it becomes clear why working within a collective is a more effective path to success than going it alone.",Hardcover,"Self-Help, Success, Business & Money, Economics, Economic Conditions, Free Enterprise & Capitalism, Business Development & Entrepreneurship, Entrepreneurship, Small Business"
9781684817320,8,2,"How Black History Can Save Your Life: From the Talk to George Floyd, Everything you Need to Know to Deescalate a Racist Situation",Ernest Crim,Mango,Non-Fiction,"Black History's Power to Combat Racism<br/><br/>How Black History Can Save Your Life by Ernest Crim III, a hate crime survivor and Anti-Racist Educator, is an essential guide for anyone seeking to combat interpersonal racism, understand the roots of discrimination, and gain actionable strategies through Black historical narratives. This black history book for adults book empowers individuals, parents, and educators with tools to challenge racism and foster equity in their communities.<br/>Using Black history to fight racism. This book builds on Crim's personal experiences, including a viral 2016 hate crime incident that profoundly shaped his career. During a night out, Crim was targeted with racial slurs, but instead of letting it defeat him, he used the situation to highlight the pervasive nature of racism in America. He captured the moment on video, sparking a national conversation about the importance of confronting and addressing discrimination.<br/>Reclaiming the stories of Black history. Crim delves deep into the stories of Black excellence, resistance, and perseverance. He equips families, parents, and educators with the tools they need to combat racism in everyday life and within schools. Through his lens as a parent and former teacher, Crim demonstrates how the untold stories of Black history hold the keys to understanding the roots of racism and how it can be untaught. Drawing on his two bestsellers—Black History Saved My Life and The ABCs of Affirming Black Children—Crim teaches readers how to deconstruct racist systems and foster equitable practices in their communities.<br/>Inside, you’ll find: Strategies to de-escalate and combat interpersonal racism in everyday situations. Tools for parents and educators to address racism in schools and educate children through an equitable lens. Inspiring Black history stories that provide a blueprint for resilience and empowerment in the face of discrimination.<br/><br/>If you liked The Color of Law, Stamped from the Beginning, or Seven Sisters and a Brother, you’ll love How Black History Can Save Your Life.",Paperback,"Biographies & Memoirs, Community & Culture, Black & African American, History, Americas, United States, Politics & Social Sciences, Social Sciences, Ethnic Studies"
9780307278449,11,3,The Bluest Eye (Vintage International),Toni Morrison,Knopf Doubleday Publishing Group,Fiction,"NATIONAL BESTSELLER • A PARADE BEST BOOK OF ALL TIME • From the acclaimed Nobel Prize winner—a powerful examination of our obsession with beauty and conformity that asks questions about race, class, and gender with characteristic subtly and grace.<br/><br/>In Morrison’s acclaimed first novel, Pecola Breedlove—an 11-year-old Black girl in an America whose love for its blond, blue-eyed children can devastate all others—prays for her eyes to turn blue: so that she will be beautiful, so that people will look at her, so that her world will be different. This is the story of the nightmare at the heart of her yearning, and the tragedy of its fulfillment.<br/><br/>Here, Morrison’s writing is “so precise, so faithful to speech and so charged with pain and wonder that the novel becomes poetry” (The New York Times).",Paperback,"Literature & Fiction, Genre Fiction, Coming of Age, United States, Black & African American, Contemporary, Literary, Politics & Social Sciences, Politics & Government, Specific Topics, Self Service, Custom Stores"
9781250899385,30,2,Love in 280 Characters or Less,Ravynn K. Stringfield,Feiwel & Friends,Young Adult,Unknown,Hardcover,"Teen & Young Adult, Literature & Fiction, Romance, Contemporary"
9781949199734,9,2,The Secret Lives of Church Ladies,Deesha Philyaw,West Virginia University Press,Non-Fiction,"*FINALIST for the 2020 National Book Award for Fiction*<br/>*WINNER of the 2021 PEN/Faulkner Award*<br/>*WINNER of the 2020 Story Prize*<br/>*WINNER of the 2020 L.A. Times Book Prize, Art Seidenbaum Award for First Fiction*<br/><br/>“Beguiling.” —The New Yorker<br/>“Tender, fierce, proudly black and beautiful, these stories will sneak inside you and take root.” —Kirkus Reviews (starred review)<br/>“Triumphant.” —Publishers Weekly<br/>“Cheeky, insightful, and irresistible.” —Ms. Magazine<br/>“This collection marks the emergence of a bona fide literary treasure.” —Minneapolis Star Tribune<br/>“Full of lived-in humanity, warmth, and compassion.” —Pittsburgh Current<br/><br/>The Secret Lives of Church Ladies explores the raw and tender places where Black women and girls dare to follow their desires and pursue a momentary reprieve from being good. The nine stories in this collection feature four generations of characters grappling with who they want to be in the world, caught as they are between the church’s double standards and their own needs and passions.<br/><br/>There is fourteen-year-old Jael, who has a crush on the preacher’s wife. At forty-two, Lyra realizes that her discomfort with her own body stands between her and a new love. As Y2K looms, Caroletta’s “same time next year” arrangement with her childhood best friend is tenuous. A serial mistress lays down the ground rules for her married lovers. In the dark shadows of a hospice parking lot, grieving strangers find comfort in each other.<br/><br/>With their secret longings, new love, and forbidden affairs, these church ladies are as seductive as they want to be, as vulnerable as they need to be, as unfaithful and unrepentant as they care to be, and as free as they deserve to be.",Paperback,"Literature & Fiction, Short Stories & Anthologies, Short Stories, United States, Black & African American, Literary"
9780316483933,3,3,Go Tell It: How James Baldwin Became a Writer,Quartez Harris,"Little, Brown Books for Young Readers",Children's,"Discover the story of young James Baldwin in this ode to the legendary writer and the power of the written word—with exquisite prose from acclaimed poet Quartez Harris, and breathtaking illustrations from New York Times bestselling creator and Caldecott Honoree Gordon C. James.<br/><br/>The first time Jimmy read a book the words clung to him like glitter...<br/><br/>Before James Baldwin was a celebrated novelist, essayist, playwright, poet, and activist, he was a boy who fell in love with stories. Words opened up new worlds for young Jimmy, who read and wrote at every opportunity. He ultimately realizes his dreams of becoming an author and giving voice to his community, and in doing so he showed the world the fullness of Black American life.<br/><br/>This picture book biography of an American icon is a poetic introduction to James Baldwin and an ode to the power of language. Additional biographical information and beautiful notes from the author and illustrator round out this stunning celebration of Baldwin's life and work.<br/><br/>★ Lyrical, accessible true story of an American icon, with bonus information at the back of the book<br/>★ Beautiful, vibrant art from Gordon C. James, two-time winner of the Kirkus Prize, a Caldecott honoree, and Coretta Scott King honoree, and Society of Illustrators Gold Medalist!<br/>★ Celebrates the power of reading, hard work, and following your dreams",Hardcover,"Children's Books, History, United States, Growing Up & Facts of Life, Difficult Discussions, Education & Reference, Reading & Writing, Biographies, Literary, Multicultural, Geography & Cultures, Multicultural Stories"
9781400249053,25,3,The Man the Moment Demands: Master the 10 Characteristics of the Comprehensive Man,Jason Wilson,Thomas Nelson,Non-Fiction,Unknown,Paperback,"Self-Help, Emotions, Christian Books & Bibles, Christian Living, Men's Issues, Personal Growth, Self Help, Religion & Spirituality"
9780743456081,6,3,"The Will to Change: Men, Masculinity, and Love",bell hooks,Washington Square Press,Non-Fiction,"From New York Times bestselling author, feminist pioneer, and cultural icon bell hooks, a timelessly necessary treatise on how patriarchy and toxic masculinity hurts us all, with a new introduction by poet Ross Gay.<br/><br/>Feminist writing did not tell us about the deep inner misery of men.<br/><br/>Everyone needs to love and be loved—including men. But to know love, men must be able to look at the ways in which patriarchal culture keeps them from understanding themselves. In The Will to Change, bell hooks provides a compassionate guide for men of all ages and identities to understand how to be in touch with their feelings, and how to express versus repress the emotions that are a fundamental part of who we are.<br/><br/>With trademark candor and fierce intelligence, hooks addresses the most common concerns of men, such as fear of intimacy and loss of their patriarchal place in society, in new and challenging ways. The Will to Change “creates space for men to acknowledge their traumas and heal—not only for their sake, but for the sake of everyone in their lives” (BuzzFeed).",Paperback,"Self-Help, Relationships, Interpersonal Relations, Love & Romance, Health, Fitness & Dieting, Psychology & Counseling, Literature & Fiction, History & Criticism, Criticism & Theory, United States, Black & African American, Politics & Social Sciences, Social Sciences, Gender Studies, Women's Studies, Feminist Theory, Anthropology, Cultural, Politics & Government, Political Science"
9781538756621,5,4,"Black Girls Breathing: Heal from Trauma, Combat Chronic Stress, and Find Your Freedom",Jasmine Marie,Balance,Non-Fiction,"From breathwork practitioner and the founder of black girls breathing®, a practical path for Black women to heal trauma, combat chronic stress, and find freedom in their own bodies and minds.<br/><br/>It's no secret that Black women have been oppressed for centuries and, as a Black woman herself, Jasmine Marie knows the impact that intergenerational trauma and systemic racism have had—and continue to have—on her community. Those experiences are why she founded a breathwork company dedicated to helping Black women access somatic practices and understand the power of the mind‑body connection to undo the trauma the carry.<br/><br/>In Black Girls Breathing, Jasmine Marie shares the science-backed tools and wisdom of her program to help readers: Connect more fully to their bodies. Give themselves permission to rest. Heal the chronic stress they carry in their bodies and nervous systems. Address their emotional pain. Rebuild themselves and their communities. Ultimately, this book is a long-overdue resource for every Strong Black Woman: The woman ready to break cycles of trauma, heal the internalized beliefs of perfectionism and conditional self‑worth, and listen to the wisdom of her inner voice.",Hardcover,"Self-Help, Stress Management, Health, Fitness & Dieting, Alternative Medicine, Meditation, Mental Health, Post-traumatic Stress Disorder, Religion & Spirituality"
9780593688960,6,3,Giovanni's Room (Deluxe Edition): A Novel (Vintage International),James Baldwin,Vintage,Fiction,"A deluxe edition of James Baldwin's groundbreaking novel with a new introduction and a stunning package.<br/><br/>Giovanni's Room is set in the Paris of the 1950s, where a young American expatriate finds himself caught between his repressed desires and conventional morality. David has just proposed marriage to his American girlfriend, but while she is away on a trip he becomes involved in a doomed affair with a bartender named Giovanni. With sharp, probing insight, James Baldwin's classic narrative delves into the mystery of love and tells a deeply moving story that reveals the unspoken complexities of the human heart.",Paperback,"LGBTQ+ Books, Literature & Fiction, Genre Fiction, United States, Black & African American, Literary"
